0	receiver
1	blocker
2	supported
3	focus
4	feature
5	shape
6	caughtitem
7	victim
8	part
9	skill
10	glue
11	competition
12	ground
13	blow
14	removeditem
15	boringthing
16	aspect
17	distributed
18	agentpart
19	theme
20	planted
21	moisturized
22	hidingitem
23	farmer
24	phenomenon
25	tickled
26	good
27	coagentpart
28	recipients
29	food
30	sliceditem
31	agenttype
32	material
33	fluid
34	listener
35	buyer
36	dye
37	hunted
38	recipient
39	decomposer
40	harvesteditem
41	reassured
42	scrapeditem
43	resource
44	wrappeditem
45	hugged
46	item
47	audience
48	individuals
49	perceiver
50	served
51	heatsource
52	goalitem
53	reference
54	undergoer
55	rocked
56	crown
57	naggedperson
58	crop
59	entityhelped
60	strapped
61	paweditem
62	foodcontainer
63	surface
64	event
65	subject
66	container
67	itemtype
68	bottom
69	item2
70	scaffold
71	item1
72	seller
73	suspect
74	unplugged
75	recipientpart
76	cause
77	coparticipant
78	patient
79	dirt
80	component
81	adressee
82	path
83	bodypart
84	teacher
85	itempart
86	stage
87	heaveditem
88	sprouter
89	substance
90	turneditem
91	items
92	clungto
93	against
94	flipped
95	carrier
96	place
97	projectile
98	action
99	confronted
100	wrappingitem
101	gatherers
102	sealant
103	image
104	strap
105	releaseditem
106	follower
107	addressee
108	agents
109	brush
110	traveler
111	message
112	firearm
113	yanked
114	ailment
115	erased
116	beneficiary
117	from
118	source
119	top
120	destination
121	chasee
122	crownedentity
123	payment
124	connector
125	start
126	depicted
127	createditem
128	vehicle
129	giver
130	pinned
131	medium
132	tool
133	interviewee
134	victimpart
135	pricked
136	goods
137	baptized
138	pitched
139	slider
140	brancher
141	target
142	coagent
143	created
144	plunged
145	rammingitem
146	blocked
147	smashed
148	problem
149	admired
150	performer
151	yankedpart
152	deflecteditem
153	lock
154	agent
155	parachute
156	obstacle
157	imitation
158	end
159	goal
160	stake
161	boaters
162	signeditem
163	destroyeditem
164	shelter
165	eater
166	object
167	experiencer
168	student
169	placeditem
170	crusheditem
171	decorated
172	restrained
173	objectpart
174	center
175	liquid
176	cloth
177	weapon
178	cover
179	instrument
180	drencheditem
181	fastener
182	contact
183	mass
184	components
185	mourner
186	occasion
187	model
188	reciever
189	quantity
