0	n10285313
1	n02834778
2	n09217230
3	n10129825
4	n02374451
5	n10787470
6	n03124590
7	n02793930
8	n04466613
9	n08613593
10	n09619168
11	n02924116
12	n10332385
13	n04334599
14	n10334009
15	n03790512
16	n04096066
17	n00007846
18	n04037625
19	n09986189
20	n00031264
21	n09387222
22	n10287213
23	n04295881
24	n10185793
25	n03119790
26	n09624168
27	n07456188
28	n07942152
29	n00458890
30	n03109486
31	n04466871
32	n10639359
33	n06891493
34	n10289039
35	n02958343
36	n10467395
37	n03793090
38	n08438533
39	n08616311
40	n09641002
41	n08615149
42	n10080869
43	n08569998
44	n07970406
45	n04462102
46	n04215402
47	n09917593
48	n09918554
49	n10084295
50	n08615638
51	n08676622
52	n02472293
53	n04490490
54	n04335209
55	n08078020
56	n08641113
57	n02472987
58	n03930630
59	n09973072
60	n02403325
61	n00522939
62	n07985628
63	n02968473
64	n03895866
65	n08615374
66	n09638875
67	n04052442
68	n02084071
69	n04225987
70	n02108672
71	n02858304
72	n09225146
73	n09328904
74	n04045397
75	n09411430
76	n14820180
77	n08645033
78	n10288763
79	n07472657
80	n13740168
81	n08518374
82	n02835271
83	n06326797
84	n04482393
85	n09918248
86	n10247358
87	n04544979
88	n04490091
89	n09359803
90	n08644722
91	n08544719
92	n02503517
93	n00441824
94	n04530566
95	n03682024
96	n00451635
97	n10529965
98	n07462917
99	n09460312
100	n03873416
101	n09376198
102	n13776971
103	n04363559
104	n03792782
105	n07609840
106	n10788852
107	n02913152
108	n14514039
109	n03244388
110	n09992837
111	n02390101
112	n04100519
113	n09972661
114	n09303528
115	n09303008
116	n03256788
117	n07989373
118	n09403734
119	n08505573
120	n07971141
121	n09959527
122	n04467665
123	n05996646
124	n04468005
125	n04049098
126	n00862686
127	n03519981
128	n03306610
129	n08683548
130	n05644334
131	n03859170
132	n03933529
133	n08613733
134	n08524735
135	n08226335
136	n04168199
137	n03124170
138	n02898711
139	n02389779
140	n03523633
141	n03965456
142	n10804287
143	n02416519
144	n04306847
145	n02121620
146	n14844693
147	n02389559
148	n12102133
149	n03444034
150	n08502672
151	n04524313
152	n15043763
153	n08517676
154	n04335435
155	n09772029
156	n09883362
157	n08517554
158	n03907227
159	n04018951
160	n00445055
161	n03541923
162	n08653314
163	n02782093
164	n09436708
165	n03100240
166	n03336459
167	n03931044
168	n10283037
169	n07458453
170	n00797361
171	n08225090
172	n03900750
173	n02382948
174	n14845743
175	n10718131
176	n04214282
177	n07944050
178	n03785016
179	n10223177
180	n13246662
181	n08560295
182	n10804406
183	n03389889
184	n09270735
185	n03445924
186	n08540903
187	n08642331
188	n01887474
189	n04610879
190	n03769722
191	n01887787
192	n02403454
193	n08509111
194	n00519333
195	n02437136
196	n08897065
197	n03364340
198	n04088797
199	n09062184
200	n05246511
201	n08662914
202	n08541288
203	n08276720
204	n03389761
205	n08397255
206	n03764276
207	n10622053
208	n04389033
209	n06881360
210	n03791053
211	n00945401
212	n03899328
213	n10089484
214	n04509417
215	n02858179
216	n10738111
217	n10376523
218	n03205760
219	n11508382
220	n08645420
221	n00300113
222	n03526062
223	n08619795
224	n04285965
225	n10048218
226	n09386842
227	n08212347
228	n07459249
229	n00174003
230	n06892775
231	n09879144
232	n03861596
233	n04294879
234	n03141327
235	n10403876
236	n02859729
237	n08616050
238	n04508804
239	n04461879
240	n08684294
241	n08397856
242	n04089976
243	n03649909
244	n04252077
245	n09077821
246	n02129604
247	n10710632
248	n08633957
249	n03581125
250	n09973422
251	n07259319
252	n02129165
253	n02970849
254	n10079399
255	n04465501
256	n04349306
257	n03757138
258	n02068974
259	n02732072
260	n02581957
261	n04482543
262	n02766534
263	n15019030
264	n02380335
265	n08591592
266	n03120198
267	n08570758
268	n04810510
